state,topic_merged_0,topic_merged_1,topic_merged_2,topic_merged_3,topic_merged_4,topic_merged_5,topic_merged_6,topic_merged_7,topic_merged_8,topic_merged_9,topic_merged_10,topic_merged_11,topic_merged_12,topic_merged_13,topic_merged_14,topic_merged_15,topic_merged_16,topic_merged_17,topic_merged_18,topic_merged_19,topic_merged_20,topic_merged_21,topic_merged_22,topic_merged_23,topic_merged_24,topic_merged_25,topic_merged_26,topic_merged_27,topic_merged_28,topic_merged_29,topic_merged_30,topic_merged_31,topic_merged_32,topic_merged_33,topic_merged_34,topic_merged_35,topic_merged_36,topic_merged_37,topic_merged_38,topic_merged_39,topic_merged_40,topic_merged_41,topic_merged_42,topic_merged_43,topic_merged_44,topic_merged_45,topic_merged_46,topic_merged_47,topic_merged_48,topic_merged_49,topic_merged_50,topic_merged_51,topic_merged_52,topic_merged_53,topic_merged_54,topic_merged_55,topic_merged_56,topic_merged_57,topic_merged_58,topic_merged_59,topic_merged_60,topic_merged_61,topic_merged_62,topic_merged_63,topic_merged_64,topic_merged_65,topic_merged_66,topic_merged_67,topic_merged_68,topic_merged_69,topic_merged_70,income,education
Alabama,0.03225806451612903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03225806451612903,0.0,0.0,0.06451612903225806,0.0,0.03225806451612903,0.0,0.0,0.0,0.03225806451612903,0.0,0.0,0.0,0.03225806451612903,0.03225806451612903,0.0,0.03225806451612903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06451612903225806,0.06451612903225806,0.0,0.0,0.0,0.0,0.0,0.0967741935483871,0.0,0.0967741935483871,0.0,0.03225806451612903,0.03225806451612903,0.0,0.03225806451612903,0.03225806451612903,0.0,0.0,0.0967741935483871,0.0,0.0,0.0,0.0,0.0,0.0967741935483871,0.0,0.0,0.0,0.0,0.03225806451612903,0.0,0.0,0.0,0.0,0.03225806451612903,0.0,0.0,66659.0,29.9
Arizona,0.09348914858096827,0.02337228714524207,0.00333889816360601,0.001669449081803005,0.001669449081803005,0.008347245409015025,0.015025041736227046,0.001669449081803005,0.03672787979966611,0.01001669449081803,0.14524207011686144,0.01001669449081803,0.0,0.03005008347245409,0.021702838063439065,0.0,0.015025041736227046,0.001669449081803005,0.001669449081803005,0.0,0.001669449081803005,0.00667779632721202,0.001669449081803005,0.0,0.00333889816360601,0.00667779632721202,0.00667779632721202,0.01001669449081803,0.00667779632721202,0.0,0.001669449081803005,0.001669449081803005,0.00667779632721202,0.02671118530884808,0.00333889816360601,0.0,0.005008347245409015,0.00333889816360601,0.0,0.00333889816360601,0.0,0.035058430717863104,0.028380634390651086,0.00333889816360601,0.01335559265442404,0.07846410684474124,0.03171953255425709,0.02003338898163606,0.011686143572621035,0.018363939899833055,0.03672787979966611,0.01669449081803005,0.001669449081803005,0.0,0.0,0.02003338898163606,0.005008347245409015,0.0,0.021702838063439065,0.05509181969949917,0.00667779632721202,0.015025041736227046,0.001669449081803005,0.001669449081803005,0.04006677796327212,0.011686143572621035,0.00333889816360601,0.0,0.00667779632721202,0.0,0.0,81486.0,34.7
Arkansas,0.01680672268907563,0.025210084033613446,0.21008403361344538,0.008403361344537815,0.0,0.0,0.01680672268907563,0.0,0.025210084033613446,0.008403361344537815,0.0,0.03361344537815126,0.0,0.025210084033613446,0.05042016806722689,0.0,0.008403361344537815,0.0,0.0,0.0,0.008403361344537815,0.025210084033613446,0.04201680672268908,0.0,0.0,0.0,0.0,0.0,0.03361344537815126,0.0,0.0,0.0,0.04201680672268908,0.03361344537815126,0.0,0.0,0.008403361344537815,0.008403361344537815,0.06722689075630252,0.008403361344537815,0.008403361344537815,0.01680672268907563,0.0,0.01680672268907563,0.008403361344537815,0.0,0.0,0.0,0.01680672268907563,0.008403361344537815,0.008403361344537815,0.025210084033613446,0.0,0.0,0.0,0.0,0.0,0.0,0.04201680672268908,0.008403361344537815,0.008403361344537815,0.01680672268907563,0.0,0.0,0.04201680672268908,0.008403361344537815,0.04201680672268908,0.0,0.008403361344537815,0.0,0.008403361344537815,62106.0,27.1
California,0.2526744778400407,0.012226184411614875,0.016131771098658515,0.007641365257259297,0.0005094243504839531,0.007301749023603328,0.014433689930378673,0.0015282730514518594,0.026659874341993548,0.00033961623365596876,0.006282900322635422,0.011037527593818985,0.00033961623365596876,0.013754457463066735,0.049923586347427405,0.0042452029206996094,0.0025471217524197657,0.0033961623365596876,0.0489047376464595,0.001358464934623875,0.020716590253014096,0.01511292239769061,0.0015282730514518594,0.0,0.001358464934623875,0.011716760061130923,0.003226354219731703,0.0005094243504839531,0.005094243504839531,0.027678723042961453,0.0023773136355917813,0.0,0.00967906265919511,0.023433520122261846,0.003056546102903719,0.004415011037527594,0.006792324673119375,0.0033961623365596876,0.0037357785702156563,0.07080998471726949,0.0023773136355917813,0.015961962981830533,0.006622516556291391,0.009339446425539142,0.01901850908473425,0.015282730514518594,0.01273560876209883,0.029716420444897265,0.006792324673119375,0.0163015792154865,0.006113092205807438,0.010188487009679063,0.006113092205807438,0.00271692986924775,0.00033961623365596876,0.0016980811682798438,0.0025471217524197657,0.0,0.024282560706401765,0.0039055866870436407,0.007131940906775344,0.005943284088979453,0.013075224995754798,0.0020376974019358125,0.06452708439463406,0.005264051621667516,0.0016980811682798438,0.0,0.012056376294786892,0.0,0.00033961623365596876,100149.0,38.1
Colorado,0.012295081967213115,0.004098360655737705,0.00819672131147541,0.0,0.0,0.0,0.004098360655737705,0.0,0.07377049180327869,0.0,0.0,0.02459016393442623,0.0,0.01639344262295082,0.036885245901639344,0.0,0.1598360655737705,0.0,0.0,0.0,0.0,0.020491803278688523,0.004098360655737705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004098360655737705,0.00819672131147541,0.004098360655737705,0.004098360655737705,0.012295081967213115,0.004098360655737705,0.004098360655737705,0.0,0.00819672131147541,0.004098360655737705,0.02459016393442623,0.004098360655737705,0.00819672131147541,0.01639344262295082,0.004098360655737705,0.012295081967213115,0.01639344262295082,0.03278688524590164,0.06967213114754098,0.0,0.045081967213114756,0.00819672131147541,0.0,0.0,0.0,0.00819672131147541,0.0,0.02868852459016393,0.19672131147540983,0.004098360655737705,0.00819672131147541,0.0,0.012295081967213115,0.028688524590163935,0.012295081967213115,0.0,0.0,0.040983606557377046,0.0,0.0,97113.0,47.8
Connecticut,0.000984898227183191,0.005252790544977019,0.0016414970453053185,0.002954694681549573,0.000984898227183191,0.0006565988181221273,0.006565988181221274,0.0006565988181221273,0.0016414970453053185,0.0,0.0006565988181221273,0.001969796454366382,0.00032829940906106366,0.0026263952724885093,0.007879185817465528,0.03479973736047275,0.00032829940906106366,0.00032829940906106366,0.0013131976362442547,0.000984898227183191,0.0,0.002954694681549573,0.0,0.0,0.001969796454366382,0.0016414970453053185,0.0013131976362442547,0.0,0.00032829940906106366,0.0,0.0,0.0,0.003282994090610637,0.02133946158896914,0.00032829940906106366,0.020026263952724884,0.004267892317793828,0.010505581089954037,0.004596191726854892,0.0036112934996717005,0.007879185817465528,0.01247537754432042,0.0026263952724885093,0.0036112934996717005,0.1792514773473408,0.00032829940906106366,0.003282994090610637,0.0,0.0,0.0016414970453053185,0.002954694681549573,0.0016414970453053185,0.11063690085357847,0.00032829940906106366,0.000984898227183191,0.0,0.0013131976362442547,0.001969796454366382,0.0016414970453053183,0.003939592908732764,0.001969796454366382,0.007222586999343401,0.0,0.020026263952724884,0.48391332895600786,0.0,0.000984898227183191,0.0,0.00032829940906106366,0.00032829940906106366,0.0,96049.0,42.6
District of Columbia,0.09836065573770492,0.03278688524590164,0.04918032786885246,0.0,0.0,0.01639344262295082,0.03278688524590164,0.0,0.01639344262295082,0.0,0.0,0.04918032786885246,0.0,0.03278688524590164,0.03278688524590164,0.0,0.0,0.0,0.0,0.0,0.01639344262295082,0.0,0.0,0.0,0.0,0.01639344262295082,0.01639344262295082,0.0,0.0,0.0,0.0,0.0,0.0,0.11475409836065574,0.0,0.01639344262295082,0.0,0.0,0.0,0.01639344262295082,0.0,0.04918032786885246,0.01639344262295082,0.0,0.06557377049180328,0.0,0.03278688524590164,0.03278688524590164,0.03278688524590164,0.0,0.0,0.0,0.03278688524590164,0.0,0.0,0.01639344262295082,0.0,0.0,0.06557377049180328,0.0,0.0,0.01639344262295082,0.0,0.0,0.01639344262295082,0.01639344262295082,0.01639344262295082,0.0,0.01639344262295082,0.0,0.01639344262295082,109707.0,65.5
Florida,0.015931372549019607,0.007965686274509803,0.003676470588235294,0.001838235294117647,0.0006127450980392157,0.006740196078431373,0.00980392156862745,0.0006127450980392157,0.032475490196078434,0.0006127450980392157,0.0006127450980392157,0.00980392156862745,0.0,0.011029411764705883,0.00428921568627451,0.0,0.0024509803921568627,0.006127450980392157,0.0006127450980392157,0.0024509803921568627,0.0006127450980392157,0.006127450980392157,0.0024509803921568627,0.0,0.001838235294117647,0.00857843137254902,0.0030637254901960784,0.0006127450980392157,0.003676470588235294,0.0,0.0030637254901960784,0.0,0.003676470588235294,0.01715686274509804,0.001838235294117647,0.007352941176470588,0.0030637254901960784,0.0030637254901960784,0.00428921568627451,0.0055147058823529415,0.0024509803921568627,0.04105392156862745,0.006127450980392157,0.006127450980392157,0.020833333333333332,0.04963235294117647,0.00980392156862745,0.006127450980392157,0.009191176470588236,0.006127450980392157,0.007965686274509803,0.030637254901960783,0.006740196078431373,0.0006127450980392157,0.0006127450980392157,0.0012254901960784314,0.5104166666666666,0.0,0.025735294117647058,0.001838235294117647,0.011029411764705883,0.006740196078431373,0.0,0.004901960784313725,0.0196078431372549,0.010416666666666666,0.0,0.0006127450980392157,0.00980392156862745,0.0,0.0,77735.0,35.8
Georgia,0.015253203172666261,0.007321537522879805,0.0036607687614399025,0.0006101281269066504,0.0006101281269066504,0.004881025015253203,0.004270896888346553,0.0006101281269066504,0.03599755948749237,0.0,0.0012202562538133007,0.005491153142159854,0.0,0.004270896888346553,0.0018303843807199512,0.0006101281269066504,0.004270896888346553,0.0012202562538133007,0.0012202562538133007,0.009762050030506406,0.0,0.0006101281269066504,0.4069554606467358,0.0,0.0006101281269066504,0.007931665649786455,0.0018303843807199512,0.0,0.003050640634533252,0.0,0.0024405125076266015,0.0012202562538133007,0.0036607687614399025,0.007321537522879805,0.011592434411226357,0.0012202562538133007,0.0024405125076266015,0.0006101281269066504,0.0036607687614399025,0.007931665649786455,0.0006101281269066504,0.013422818791946308,0.0024405125076266015,0.004270896888346553,0.012202562538133009,0.0,0.006101281269066504,0.003050640634533252,0.006101281269066504,0.007321537522879805,0.0012202562538133007,0.003050640634533252,0.004270896888346553,0.0012202562538133007,0.0,0.0006101281269066504,0.0018303843807199512,0.0,0.017693715680292862,0.006711409395973154,0.007321537522879805,0.003050640634533252,0.0,0.0006101281269066504,0.011592434411226357,0.0012202562538133007,0.3087248322147651,0.0006101281269066504,0.008541793776693106,0.0,0.0,79991.0,36.3
Illinois,0.15587529976019188,0.015587529976019185,0.050359712230215826,0.0,0.001199040767386091,0.005995203836930456,0.015587529976019185,0.001199040767386091,0.10671462829736211,0.0,0.0,0.022781774580335732,0.027577937649880094,0.03237410071942446,0.025179856115107913,0.001199040767386091,0.009592326139088728,0.001199040767386091,0.0,0.0,0.001199040767386091,0.014388489208633094,0.002398081534772182,0.0,0.0035971223021582736,0.013189448441247002,0.009592326139088728,0.001199040767386091,0.008393285371702638,0.001199040767386091,0.001199040767386091,0.0,0.02158273381294964,0.03717026378896882,0.008393285371702638,0.013189448441247002,0.008393285371702638,0.009592326139088728,0.009592326139088728,0.002398081534772182,0.0035971223021582736,0.02158273381294964,0.013189448441247002,0.01079136690647482,0.03836930455635491,0.001199040767386091,0.017985611510791366,0.016786570743405275,0.02038369304556355,0.02038369304556355,0.002398081534772182,0.015587529976019185,0.009592326139088728,0.001199040767386091,0.0,0.0,0.0035971223021582736,0.0,0.03956834532374101,0.009592326139088728,0.004796163069544364,0.011990407673860911,0.002398081534772182,0.011990407673860911,0.0539568345323741,0.004796163069544364,0.001199040767386091,0.0,0.023980815347721823,0.0,0.0,83211.0,39.2
